positive_prob,neutral_prob,negative_prob
0.0065303603,0.86756086,0.12590879
0.99695885,0.0019331047,0.0011079971
0.0012415466,0.9949609,0.0037974534
0.0035755364,0.16756603,0.8288585
5.6789874e-4,0.997544,0.0018880727
0.025878724,0.658237,0.3158842
0.0043840283,0.13707614,0.8585398
0.606723,0.38970447,0.003572531
0.017655084,0.046897348,0.9354475
0.016891591,0.51965696,0.4634515
0.023018036,0.9686319,0.008350073
0.0064841094,0.94022673,0.053289127
0.0021785083,0.99159956,0.006221955
0.0040352577,0.98861516,0.0073496015
0.0012616849,0.99803454,7.0372573e-4
6.41993e-4,8.8609866e-4,0.9984719
0.0028779034,0.92483515,0.07228688
0.20692788,0.0043699434,0.7887022
0.09071864,0.0029557364,0.9063256
0.0019017836,0.9943593,0.0037388995
5.8877596e-4,0.0015623978,0.99784887
0.8873938,0.10837288,0.004233339
0.2098506,0.043331094,0.7468183
0.0372928,0.59667796,0.3660292
0.38588524,0.59208274,0.022032028
0.0039100344,0.98975545,0.0063345884
0.0057820207,0.31292814,0.68128985
0.0023295444,0.010281972,0.9873885
0.002630888,0.33413523,0.6632338
8.296851e-4,0.0020729708,0.9970974
0.038869843,0.2535233,0.70760685
7.6693075e-4,0.014000961,0.9852321
0.004574808,0.5155057,0.47991952
0.9754901,0.023512416,9.975636e-4
0.61646736,0.3549546,0.028578054
0.0029120229,0.995918,0.0011700647
0.60661083,0.38867518,0.0047139926
0.002859114,0.99457645,0.0025643369
0.0037713808,0.993276,0.0029526656
0.85863787,0.13938929,0.0019728
0.07889632,0.6730202,0.24808341
0.71080494,0.017721755,0.27147335
0.003694554,0.9948966,0.001408891
0.25828004,0.7374517,0.0042682257
0.0049940655,0.99171305,0.0032928882
0.43736592,0.49842456,0.06420957
0.0019292876,0.0020755043,0.99599516
0.013847778,0.0048313746,0.9813208
0.04883231,0.9505353,6.324232e-4
8.430191e-4,0.9915774,0.007579611
0.0014034368,0.3913307,0.6072659
8.656496e-4,0.049327996,0.94980633
0.0015243972,0.99768925,7.864424e-4
5.66141e-4,0.009290731,0.99014306
0.0029144436,0.90997934,0.08710625
0.008134166,0.97860307,0.01326276
0.32944623,0.26044017,0.4101137
6.935623e-4,0.0015423899,0.997764
0.9874005,0.0106967315,0.0019027948
5.347338e-4,0.004318105,0.99514717
0.9331663,0.046400603,0.020433012
0.0036066158,8.183619e-4,0.9955751
0.011048394,0.91693085,0.072020784
0.039599802,0.95932156,0.0010786687
0.32944623,0.26044017,0.4101137
0.002162329,0.99712735,7.103657e-4
0.007696572,0.9890114,0.003291998
0.0029924235,0.99627006,7.375862e-4
0.0017782563,0.9971353,0.0010864661
0.857951,0.141142,9.06941e-4
0.50351113,0.0104644755,0.48602438
0.9944114,0.0021165507,0.0034720001
0.9904113,0.009171012,4.1772757e-4
0.09269297,0.005840395,0.90146667
0.78485703,0.20857926,0.0065636886
0.006689169,0.0034005167,0.9899103
0.014517955,0.008540576,0.9769415
0.06462117,0.12770298,0.8076758
9.570569e-4,0.003594895,0.99544805
7.378968e-4,7.301588e-4,0.99853194
0.15258254,0.0010778903,0.8463396
0.0014183786999999999,0.0025676673,0.996014
0.9047551,0.09408171,0.0011632134
0.003063681,0.0013826521,0.9955537
0.0057458305,0.5511496,0.44310457
0.4171432,0.18959421,0.39326257
0.0043965643,0.86668617,0.12891722
0.009121054,0.9844207,0.0064582545
0.0015908286,0.9917726,0.006636568
0.007858818,0.6144392,0.37770194
0.38100678,0.26612532,0.35286793
0.26430926,0.73292077,0.0027700383
0.9953975,0.0032789465,0.001323555
0.02794247,0.97130257,7.5497944e-4
0.6825945,0.07990613,0.2374995
0.014042154,0.011821359,0.97413653
0.022202786,0.41984698,0.5579502
0.027772982,0.966175,0.0060519893
0.50591063,0.003949388,0.49014
0.0010610836,0.05570445,0.9432345
0.04582962,0.7181954,0.23597503
8.7591365e-4,0.0034793757,0.9956447
0.9878349,0.0015444638,0.010620731
0.053580742,0.20741673,0.7390025
0.0011822478,0.98805714,0.010760697
0.008882069,0.643223,0.34789497
0.3043749,0.6698885,0.025736574
0.0072732093,0.19468352,0.79804325
0.63881326,0.3152705,0.045916278
0.0024152724,0.99657565,0.0010090737
0.01832326,0.967357,0.014319881
0.015410528,0.7251257,0.2594638
0.018009977,0.010223074,0.97176695
0.004163277,0.020152295,0.97568446
0.0061078835,0.8181257,0.17576632
0.9978498,7.596748e-4,0.0013905056
0.0030160302,0.8761774,0.12080655
0.0045871018,0.6183927,0.37702018
0.97817206,0.020587798,0.0012401667
0.0069290916,0.98966426,0.0034067563
0.012085925,0.9808023,0.007111724
0.056138657,0.94283473,0.0010265674
0.0028485185,0.9964367,7.147546e-4
0.8854127,0.07253173,0.042055532
0.0016361268,6.1932666e-4,0.99774456
0.027105868,0.02401523,0.94887894
0.98335177,0.015514056,0.0011342069
9.3985745e-4,9.727362e-4,0.99808735
7.246056e-4,5.6288776e-4,0.99871254
9.178716e-4,0.9875799,0.01150233
0.66074723,0.3369224,0.002330426
0.99308866,0.004068222,0.002843154
0.01939159,0.009677188,0.97093123
0.010577293,7.3011825e-4,0.98869264
0.66074723,0.3369224,0.002330426
0.15251955,0.83622384,0.011256641
0.0018312454,0.9965072,0.0016615043
0.0034050443,5.868352e-4,0.99600804
0.010033204,0.62127334,0.36869347
9.2526217e-4,0.9928509,0.006223785
6.301212e-4,0.99746275,0.0019071235
0.024121204,0.97506726,8.116181e-4
0.0013670562,0.99771947,9.13433e-4
0.0014579482,0.9979235,6.1842776e-4
5.854369e-4,0.998466,9.485353e-4
5.539764e-4,0.9967264,0.0027196605000000002
0.0109761385,0.9886645,3.5931278e-4
0.0010059034,0.9968364,0.0021576239
0.0010747709,0.9971282,0.0017969791
0.007734022,0.9907912,0.0014747013
0.002521465,0.9961443,0.0013342836
0.98889077,0.010219959,8.8927156e-4
3.076594e-4,0.998381,0.0013113273
0.007255967,0.022050256,0.9706937
0.02076996,0.9476779,0.03155214
0.06870568,0.06563078,0.8656636
0.0011826212,0.99319285,0.0056245215
0.0046553225,0.9878683,0.0074764024
0.0057773036,0.9731472,0.02107546
0.001241664,0.993835,0.0049234866
0.022926351,0.8967938,0.08027992
0.023455217,0.9756665,8.7819947e-4
0.0041305833,0.9224963,0.07337303
0.0034529255,0.9938036,0.002743387
0.08418058,0.8960652,0.019754324
0.891411,0.0111400345,0.09744896
4.5002793e-4,0.9964516,0.0030983167
0.0010723611,0.993901,0.005026602
0.0010280658,0.003128521,0.99584335
0.2118158,0.64601606,0.14216806
7.791203e-4,0.0013332387,0.9978877
0.0043394766,0.99492115,7.393738e-4
0.9775047,0.0031348518,0.019360477
0.0020790223,0.99080956,0.0071114297
0.40251806,0.59544164,0.0020403427
0.9464071,0.0049518147,0.04864106
0.0014580839,0.9977475,7.943755e-4
0.0042092646,0.94390345,0.05188727
0.0031083873,0.91091806,0.08597357
0.0077940645,0.4377306,0.55447537
0.0075164144,0.988557,0.003926553
0.001895726,0.99734014,7.6406094e-4
0.0050075143,0.9854638,0.009528629
0.0022083595,0.93324363,0.06454805
0.0010709743,0.9982027,7.2639936e-4
0.0069771023,0.8522705,0.14075239
0.004731676,0.9352277,0.060040656
8.267727e-4,0.9985045,6.6868006e-4
0.004132508,0.81760055,0.1782669
0.042402387,0.9560541,0.001543447
0.022713132,0.9766184,6.6844816e-4
0.016025562,0.74733293,0.23664147
0.0010553428,0.9973055,0.0016390581
0.001958411,0.97292566,0.025115825
7.6602027e-4,0.99803466,0.0011993977
0.0010344147,0.99726295,0.0017026502
0.0012113007,0.9976739,0.0011147974
0.0025952153,6.154543e-4,0.99678934
0.0027941915,0.982068,0.015137841
0.0025204655,0.9949208,0.002558705
0.97583157,0.02018113,0.0039874
0.89377284,0.1048102,0.0014169997
0.7158613,0.282228,0.00191067
0.009936196,0.9875585,0.0025053562
0.003758833,0.9913681,0.0048730085
0.0011278123,0.99539775,0.0034743506
0.0046883943,0.5228053,0.47250634
0.0019736746,0.9057582,0.09226809
0.015995473,0.0840369,0.8999676
6.306272e-4,0.0011109354,0.9982584
0.004474803,0.94384485,0.05168028
0.27202928,0.21257761,0.51539314
0.09040501,0.074490756,0.8351042
0.28190726,0.71691793,0.0011747561
0.06191866,0.7382978,0.19978347
0.004453008,0.9950978,4.4914827e-4
0.9965314,9.112157e-4,0.0025574926
0.0014606013,0.98342556,0.015113816
7.738873e-4,0.9985845,6.4159476e-4
0.0018000617,0.99760157,5.9837167e-4
5.911066e-4,6.989158e-4,0.99871004
0.0025120648,0.31388143,0.6836065
0.0014551914,0.99715424,0.0013905988
0.0031490168,0.99611557,0.00073535467000000005
0.004376201,0.9004435,0.09518032
0.004479423,0.0045430977,0.9909775
0.0034759382,0.06549381,0.9310303
0.0010158173,4.6853407e-4,0.99851567
0.23148547,0.76604563,0.002468935
0.0029829545,0.42994264,0.5670744
8.6180295e-4,0.99863464,5.035157e-4
0.07255623,0.9259121,0.0015317588
0.36265182,0.35886228,0.27848595
0.9755795,0.003008549,0.021411944
0.029059073,0.13857421,0.8323667
0.99856806,9.6852804e-4,4.6347533e-4
0.086170994,0.68408924,0.22973977
4.9422233e-4,5.001837e-4,0.9990056
0.0027878718,0.9020602,0.095151804
0.0018170793,0.99650997,0.001672928
0.7474446,0.09937736,0.15317798
5.393859e-4,8.0765696e-4,0.99865294
0.9146104,0.009136078,0.07625359
0.0010835142,0.9969867,0.0019297557
0.0020013126,0.99716455,8.340751e-4
0.0010028109,0.0027059105,0.9962913
5.705541e-4,0.9980697,0.001359811
8.1792835e-4,0.011340092,0.98784196
0.9219028,0.077309944,7.873222e-4
0.0022564027,0.98537445,0.012369186
0.00721204,0.99226624,5.21612e-4
0.0011954948,0.020744989,0.9780595
0.0012013974,0.95512205,0.04367647
0.25332478,0.7452121,0.001463153
0.0013732032,0.0026351488,0.99599165
0.9968556,0.002545629,5.9866975e-4
0.0046095205,0.5515709,0.44381958
0.0046095205,0.5515709,0.44381958
0.99050176,0.009026218,4.7204914e-4
0.013180942,0.96140087,0.025418237
0.002423579,0.99657613,0.0010002814
0.0059111337,0.98360574,0.010483047
0.055038117,0.0030650282,0.94189686
0.0029247417,0.9733203,0.02375491
0.00121007,0.99445575,0.0043342854
0.02667965,0.32729304,0.6460273
0.0012980682,0.0019091151000000001,0.99679285
5.486213e-4,4.995447e-4,0.9989518
0.002416601,0.99471843,0.0028648325
6.133086e-4,5.3762464e-4,0.99884903
0.0010292641,5.171592e-4,0.9984536
0.8085991,0.13054104,0.060859855
0.019009171,0.9571278,0.023862995
8.9390966e-4,0.998396,7.100225e-4
0.63166064,0.3647833,0.0035560029
7.9779414e-4,0.99689144,0.0023108441
0.002150396,0.65150404,0.34634563
0.06995462,0.85386485,0.07618057
0.003156009,0.59437835000000006,0.40246555
0.0029514628,0.009971619,0.98707694
0.0017321102,0.9955883,0.0026796302
9.0509676e-4,0.9985977,4.972524e-4
9.858725e-4,0.9984516,5.624705e-4
0.0015179422,0.99706954,0.0014125736
0.0014133241,0.9981389,4.4772762e-4
0.9983758,6.5496715e-4,9.6926506e-4
5.5760203e-4,0.9983078,0.0011345937
6.3453376e-4,0.99647504,0.0028903806
0.06315149,0.9357619,0.0010864887
8.557256e-4,0.9716281,0.027516114
0.026952317,0.9727069,3.4074517e-4
0.05719777,0.9104517,0.03235045
0.9720782,0.027448066,4.736986e-4
8.8139373e-4,0.9941369,0.0049817082
0.004875384,0.9663126,0.02881212
7.81783e-4,0.9983889,8.292653e-4
0.009535668,0.9898398,6.245911e-4
0.0018042646,0.9973028,8.929841e-4
0.007238782,0.99105424,0.0017070684
0.0018712673,0.0060692145,0.99205947
0.104151346,0.8838692,0.011979392
0.005928601,0.99253345,0.0015379102
0.0031252345,0.025782546,0.97109216
0.0026278375,0.9344585,0.062913604
8.351364e-4,0.9977794,0.0013854618
5.386324e-4,0.003051591,0.99640983
0.03357529,0.8046063,0.16181844
0.0015691761,0.89938414,0.09904669
7.65811e-4,0.007423221,0.9918109
0.8604078,0.13880935,7.8281533e-4
0.84257877,0.14884417,0.008577046
0.0015595364,0.9972047,0.0012356966
5.3939177e-4,0.99870753,7.530667e-4
9.3611237e-4,0.9981115,9.5236866e-4
5.38165e-4,0.99775594,0.0017059216
5.790714e-4,0.99339265,0.0060282107
0.0010952112,0.9981552,7.4961147e-4
0.04415674,0.5392439,0.41659933
0.0010195669,0.99856085000000006,4.1961027e-4
0.0027997384,0.99475795,0.002442215
0.0029422976,0.98323405,0.013823545
0.0063099377,0.0010296492,0.9926604
0.20966963,0.72139454,0.068935804
0.001977215,0.0032905927,0.99473214
0.0041177594,0.8179023,0.17797992
0.0038855323,0.022853961,0.97326046
0.0074165748,0.443283,0.5493005
0.0012831725,0.0383479,0.9603689
0.92421347,0.06909348,0.0066929813
5.6365033e-4,0.99895275,4.836372e-4
0.012213602,0.9873677,4.18706e-4
0.0467562,0.95245343,7.9037965e-4
0.93990535,0.05954079,5.5385364e-4
0.0020488868,0.8909432,0.1070079
0.05369405,0.005163188,0.9411428
0.0047542173,0.9909113,0.0043345434
0.0010688684,0.9973531,0.0015780355
0.009858846,0.98768497,0.0024561493
0.0017803828,0.997154,0.0010655608
0.9888182,0.01069735,4.8435322e-4
0.0012545898,0.10654405,0.8922013
0.026377808,0.0036447607,0.9699774
0.029475657,0.07057509,0.89994925
0.0063284268,0.0021681862,0.99150336
0.0012139089,3.3552118e-4,0.9984505
0.0011381558,0.94763464,0.051227223
0.0011745783,9.5917593e-4,0.9978662
0.002069696,0.99324566,0.0046847067
0.0030853027,0.9960448,8.698334e-4
8.8362076e-4,0.99832684,7.89537e-4
0.012429221,0.98705846,5.122924e-4
0.90780365,0.007503066,0.084693275
0.97874844,0.014577189,0.0066744457
0.9548914,0.001823186,0.043285504
0.8558767,0.0026222,0.1415011
0.0012718387,0.05250861,0.9462195
0.0053769844,0.020409325,0.97421366
0.89670146,0.0015053184,0.101793304
0.9857963,0.009442841,0.0047607995
0.0011838959,0.998268,5.4814905e-4
0.6554482,0.076037504,0.2685143
9.646493e-4,0.9963044,0.0027309624
0.0029857666,0.77111816,0.22589606
0.21279636,0.7810522,0.0061515262
0.9984066,4.2977964e-4,0.0011636821
0.0029054207,4.183357e-4,0.9966762
0.078660116,0.9179819,0.0033579678
0.9385821,0.060825557,5.922931e-4
0.99714583,0.0017973314,0.0010568325
0.015289458,0.9822938,0.002416795
0.3143567,0.6841442,0.0014991077
0.99862695,7.117313e-4,6.6124566e-4
0.9984528,0.0010686361,4.7863653e-4
0.7489958,0.21812987,0.032874394
0.98694915,0.012519167,5.316686e-4
0.9258611,0.071958356,0.002180651
0.0747314,0.85028577,0.074982785
0.9987206,6.4194994e-4,6.374714e-4
0.14310813,0.8421643,0.014727594
0.992757,0.006340751,9.022847e-4
0.9973617,0.0020318246,6.0653896e-4
0.00280455,0.99685246,3.4293102e-4
0.0052854037,0.99369013,0.0010243966
0.0056632184,0.94449925,0.049837537
7.2221365e-4,0.0064706714,0.99280715
0.0126741575,0.97886294,0.008462882
0.016685838,0.25089258,0.73242164
0.001744717,0.94621545,0.052039754
8.450194e-4,8.3496916e-4,0.99832004
0.0077860733,0.015540376,0.97667354
0.27205175,0.28173777,0.44621044
0.8966578,0.037265606,0.06607654
0.0032272018,0.03829056,0.95848227
0.0022303632,0.90319514,0.09457452
0.0020611149,0.98841757,0.009521332
0.002785016,0.889641,0.10757406
0.91980785,0.07633804,0.0038540529
0.0020924173,0.98504794,0.012859692
0.0015258471,0.8891616,0.10931267
0.0018676994,0.98052156,0.017610658
0.0650743,0.9336123,0.0013134094
4.342593e-4,0.012587827,0.986978
0.0069484524,0.011608276,0.9814433
0.010500971,0.5999961,0.38950294
0.003288396,0.9691693,0.02754227
0.8752647,0.11826521,0.0064700907
0.0031200158,0.144958,0.851922
0.0015627015,0.18001413,0.81842315
0.011778665,0.98745036,7.710201e-4
