X,ID,køn,Political_Orientation,word_id,n,n_doc
3,3,Ingen,NA,25,30,23
3,3,Ingen,NA,186,18,16
3,3,Ingen,NA,390,116,51
3,3,Ingen,NA,62,25,21
3,3,Ingen,NA,871,123,63
3,3,Ingen,NA,1008,30,24
3,3,Ingen,NA,25,30,23
3,3,Ingen,NA,429,119,76
3,3,Ingen,NA,77,52,40
4,4,Mand,Right-winged,235,22,7
4,4,Mand,Right-winged,26,241,72
4,4,Mand,Right-winged,65,9,9
4,4,Mand,Right-winged,57,93,48
4,4,Mand,Right-winged,899,92,55
4,4,Mand,Right-winged,1074,36,28
4,4,Mand,Right-winged,26,241,72
4,4,Mand,Right-winged,490,27,23
4,4,Mand,Right-winged,26,241,72
4,4,Mand,Right-winged,903,21,18
4,4,Mand,Right-winged,291,54,40
4,4,Mand,Right-winged,503,59,44
4,4,Mand,Right-winged,308,53,30
4,4,Mand,Right-winged,58,56,38
4,4,Mand,Right-winged,1072,152,85
4,4,Mand,Right-winged,235,22,7
4,4,Mand,Right-winged,26,241,72
4,4,Mand,Right-winged,899,92,55
4,4,Mand,Right-winged,85,41,33
4,4,Mand,Right-winged,1133,129,76
4,4,Mand,Right-winged,759,6,5
4,4,Mand,Right-winged,308,53,30
4,4,Mand,Right-winged,264,99,58
4,4,Mand,Right-winged,819,158,87
4,4,Mand,Right-winged,452,83,57
4,4,Mand,Right-winged,445,39,27
4,4,Mand,Right-winged,278,222,67
4,4,Mand,Right-winged,1012,95,62
4,4,Mand,Right-winged,1022,130,67
4,4,Mand,Right-winged,769,222,103
4,4,Mand,Right-winged,906,14,12
4,4,Mand,Right-winged,633,65,46
4,4,Mand,Right-winged,899,92,55
4,4,Mand,Right-winged,264,99,58
4,4,Mand,Right-winged,380,66,35
4,4,Mand,Right-winged,643,64,13
4,4,Mand,Right-winged,497,97,64
4,4,Mand,Right-winged,497,97,64
4,4,Mand,Right-winged,26,241,72
4,4,Mand,Right-winged,640,14,12
4,4,Mand,Right-winged,769,222,103
4,4,Mand,Right-winged,878,38,26
4,4,Mand,Right-winged,769,222,103
4,4,Mand,Right-winged,26,241,72
4,4,Mand,Right-winged,1026,89,63
